SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
1057,491281021,"01057M00:00:00.469","01056 23:31:16",207.24,876.55,,,,"     ",4.30,,
1057,491281022,"01057M00:00:01.443","01056 23:31:17",207.23,876.53,,,,"     ",4.30,63.17,5.39
1057,491281023,"01057M00:00:02.416","01056 23:31:18",207.23,876.50,,,,"     ",4.30,63.09,5.39
1057,491281024,"01057M00:00:03.389","01056 23:31:19",207.23,876.49,,,,"     ",4.30,62.87,5.37
1057,491281025,"01057M00:00:04.362","01056 23:31:20",207.24,876.47,,,,"     ",4.30,62.98,5.38
1057,491281026,"01057M00:00:05.336","01056 23:31:21",207.26,876.43,,,,"     ",4.30,62.84,5.37
1057,491281027,"01057M00:00:06.309","01056 23:31:22",207.27,876.50,,,,"     ",4.30,62.79,5.37
1057,491281028,"01057M00:00:07.282","01056 23:31:23",207.30,876.50,,,,"     ",4.30,63.08,5.39
1057,491281029,"01057M00:00:08.255","01056 23:31:24",207.33,876.54,,,,"     ",4.30,63.20,5.40
1057,491281030,"01057M00:00:09.229","01056 23:31:25",207.36,876.56,,,,"     ",4.30,62.95,5.38
1057,491281031,"01057M00:00:10.202","01056 23:31:26",207.39,876.53,,,,"     ",4.30,62.99,5.39
1057,491281032,"01057M00:00:11.175","01056 23:31:27",207.44,876.49,,,,"     ",4.30,63.07,5.39
1057,491281033,"01057M00:00:12.148","01056 23:31:27",207.49,876.44,,,,"     ",4.30,62.94,5.38
1057,491281034,"01057M00:00:13.122","01056 23:31:28",207.55,876.54,,,,"     ",4.30,63.07,5.40
1057,491281035,"01057M00:00:14.095","01056 23:31:29",207.62,876.42,,,,"     ",4.30,63.43,5.43
1057,491281036,"01057M00:00:15.068","01056 23:31:30",207.64,876.55,,,,"     ",4.30,63.06,5.40
1057,491281037,"01057M00:00:16.041","01056 23:31:31",207.63,876.57,,,,"     ",4.30,62.98,5.39
1057,491281038,"01057M00:00:17.015","01056 23:31:32",207.61,876.53,,,,"     ",4.30,62.89,5.38
1057,491281039,"01057M00:00:17.988","01056 23:31:33",207.58,876.56,,,,"     ",4.30,62.95,5.39
1057,491281040,"01057M00:00:18.961","01056 23:31:34",207.55,876.53,,,,"     ",4.30,62.95,5.39
1057,491281041,"01057M00:00:19.934","01056 23:31:35",207.52,876.60,,,,"     ",4.30,62.71,5.37
1057,491281042,"01057M00:00:20.908","01056 23:31:36",207.49,876.55,,,,"     ",4.30,62.76,5.38
1057,491281043,"01057M00:00:21.881","01056 23:31:37",207.46,876.47,,,,"     ",4.30,62.98,5.40
1057,491281044,"01057M00:00:22.854","01056 23:31:38",207.44,876.53,,,,"     ",4.30,63.09,5.41
1057,491281045,"01057M00:00:23.827","01056 23:31:39",207.43,876.54,,,,"     ",4.30,62.75,5.38
1057,491281046,"01057M00:00:24.801","01056 23:31:40",207.42,876.59,,,,"     ",4.30,63.05,5.41
1057,491281047,"01057M00:00:25.774","01056 23:31:41",207.43,876.68,,,,"     ",4.30,63.01,5.40
1057,491281048,"01057M00:00:26.747","01056 23:31:42",207.44,876.53,,,,"     ",4.30,62.83,5.39
1057,491281049,"01057M00:00:27.720","01056 23:31:43",207.46,876.58,,,,"     ",4.30,63.18,5.42
1057,491281050,"01057M00:00:28.694","01056 23:31:44",207.49,876.66,,,,"     ",4.30,63.02,5.40
1057,491281051,"01057M00:00:29.667","01056 23:31:45",207.52,876.58,,,,"     ",4.30,62.68,5.38
1057,491281052,"01057M00:00:30.640","01056 23:31:46",207.54,876.57,,,,"     ",4.30,63.06,5.41
1057,491281053,"01057M00:00:31.613","01056 23:31:47",207.57,876.49,,,,"     ",4.30,62.83,5.39
1057,491281054,"01057M00:00:32.587","01056 23:31:48",207.59,876.54,,,,"     ",4.30,63.26,5.43
1057,491281055,"01057M00:00:33.560","01056 23:31:49",207.59,876.53,,,,"     ",4.30,63.04,5.41
1057,491281056,"01057M00:00:34.533","01056 23:31:50",207.58,876.50,,,,"     ",4.30,62.88,5.40
1057,491281057,"01057M00:00:35.506","01056 23:31:51",207.56,876.51,,,,"     ",4.30,62.86,5.40
1057,491281058,"01057M00:00:36.480","01056 23:31:52",207.54,876.54,,,,"     ",4.30,63.18,5.42
1057,491281059,"01057M00:00:37.453","01056 23:31:53",207.52,876.59,,,,"     ",4.30,63.04,5.41
1057,491281060,"01057M00:00:38.426","01056 23:31:54",207.50,876.54,,,,"     ",4.30,62.90,5.40
1057,491281061,"01057M00:00:39.399","01056 23:31:55",207.48,876.60,,,,"     ",4.30,63.38,5.44
1057,491281062,"01057M00:00:40.373","01056 23:31:56",207.46,876.58,,,,"     ",4.30,62.93,5.41
1057,491281063,"01057M00:00:41.346","01056 23:31:57",207.43,876.58,,,,"     ",4.30,63.04,5.41
1057,491281064,"01057M00:00:42.319","01056 23:31:58",207.39,876.59,,,,"     ",4.30,62.95,5.41
1057,491281065,"01057M00:00:43.292","01056 23:31:59",207.36,876.61,,,,"     ",4.30,63.03,5.42
1057,491281066,"01057M00:00:44.266","01056 23:32:00",207.35,876.56,,,,"     ",4.30,63.07,5.42
1057,491281067,"01057M00:00:45.239","01056 23:32:01",207.37,876.51,,,,"     ",4.30,62.93,5.41
1057,491281068,"01057M00:00:46.212","01056 23:32:02",207.41,876.57,,,,"     ",4.30,63.18,5.43
1057,491281069,"01057M00:00:47.185","01056 23:32:03",207.45,876.55,,,,"     ",4.30,63.07,5.42
1057,491281070,"01057M00:00:48.159","01056 23:32:04",207.50,876.58,,,,"     ",4.30,63.11,5.42
1057,491281071,"01057M00:00:49.132","01056 23:32:04",207.53,876.64,,,,"     ",4.30,62.95,5.41
1057,491281072,"01057M00:00:50.105","01056 23:32:05",207.53,876.66,,,,"     ",4.30,62.97,5.41
1057,491281073,"01057M00:00:51.078","01056 23:32:06",207.51,876.57,,,,"     ",4.30,63.33,5.44
1057,491281074,"01057M00:00:52.052","01056 23:32:07",207.47,876.66,,,,"     ",4.30,63.10,5.43
1057,491281075,"01057M00:00:53.025","01056 23:32:08",207.41,876.64,,,,"     ",4.30,62.95,5.41
