SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
1455,526613273,"01455M00:00:37.795","01455 00:32:53",216.43,882.49,,,,"     ",4.90,,
1455,526613274,"01455M00:00:38.768","01455 00:32:54",216.47,882.46,,,,"     ",4.90,79.51,4.80
1455,526613275,"01455M00:00:39.741","01455 00:32:55",216.51,882.55,,,,"     ",4.90,79.54,4.79
1455,526613276,"01455M00:00:40.715","01455 00:32:56",216.55,882.63,,,,"     ",4.90,78.88,4.74
1455,526613277,"01455M00:00:41.688","01455 00:32:57",216.57,882.58,,,,"     ",4.90,79.33,4.75
1455,526613278,"01455M00:00:42.661","01455 00:32:58",216.34,882.59,,,,"     ",4.90,79.19,4.73
1455,526613279,"01455M00:00:43.634","01455 00:32:59",216.14,882.50,,,,"     ",4.90,79.13,4.71
1455,526613280,"01455M00:00:44.608","01455 00:33:00",215.99,882.52,,,,"     ",4.90,79.60,4.73
1455,526613281,"01455M00:00:45.581","01455 00:33:01",216.61,882.57,,,,"     ",4.90,79.41,4.71
1455,526613282,"01455M00:00:46.554","01455 00:33:02",216.44,882.62,,,,"     ",4.90,79.39,4.69
1455,526613283,"01455M00:00:47.527","01455 00:33:03",216.29,882.61,,,,"     ",4.90,79.35,4.68
1455,526613284,"01455M00:00:48.501","01455 00:33:04",216.14,882.67,,,,"     ",4.90,79.33,4.67
1455,526613285,"01455M00:00:49.474","01455 00:33:05",216.00,882.63,,,,"     ",4.90,79.32,4.66
1455,526613286,"01455M00:00:50.447","01455 00:33:06",215.87,882.61,,,,"     ",4.90,80.14,4.69
1455,526613287,"01455M00:00:51.420","01455 00:33:07",215.75,882.67,,,,"     ",4.90,79.50,4.65
1455,526613288,"01455M00:00:52.394","01455 00:33:08",215.64,882.70,,,,"     ",4.90,79.57,4.64
1455,526613289,"01455M00:00:53.367","01455 00:33:09",215.54,882.76,,,,"     ",4.90,80.02,4.66
1455,526613290,"01455M00:00:54.340","01455 00:33:10",215.45,882.65,,,,"     ",4.90,79.77,4.63
1455,526613291,"01455M00:00:55.314","01455 00:33:11",215.37,882.55,,,,"     ",4.90,80.13,4.64
1455,526613292,"01455M00:00:56.287","01455 00:33:12",215.30,882.68,,,,"     ",4.90,79.41,4.59
1455,526613293,"01455M00:00:57.260","01455 00:33:13",215.24,882.60,,,,"     ",4.90,79.83,4.61
1455,526613294,"01455M00:00:58.233","01455 00:33:14",215.20,882.61,,,,"     ",4.90,79.96,4.61
1455,526613295,"01455M00:00:59.207","01455 00:33:15",215.16,882.65,,,,"     ",4.90,79.66,4.58
1455,526613296,"01455M00:01:00.180","01455 00:33:16",215.14,882.58,,,,"     ",4.90,79.95,4.59
1455,526613297,"01455M00:01:01.153","01455 00:33:17",215.13,882.67,,,,"     ",4.90,79.84,4.57
1455,526613298,"01455M00:01:02.126","01455 00:33:18",215.12,882.61,,,,"     ",4.90,79.89,4.57
1455,526613299,"01455M00:01:03.100","01455 00:33:18",215.12,882.71,,,,"     ",4.90,79.61,4.54
1455,526613300,"01455M00:01:04.073","01455 00:33:19",215.14,882.63,,,,"     ",4.90,79.83,4.55
1455,526613301,"01455M00:01:05.046","01455 00:33:20",215.17,882.70,,,,"     ",4.90,79.90,4.55
1455,526613302,"01455M00:01:06.019","01455 00:33:21",215.21,882.68,,,,"     ",4.90,79.92,4.54
1455,526613303,"01455M00:01:06.993","01455 00:33:22",215.27,882.63,,,,"     ",4.90,80.04,4.54
1455,526613304,"01455M00:01:07.966","01455 00:33:23",215.33,882.67,,,,"     ",4.90,79.58,4.51
1455,526613305,"01455M00:01:08.939","01455 00:33:24",215.40,882.64,,,,"     ",4.90,79.87,4.52
1455,526613306,"01455M00:01:09.912","01455 00:33:25",215.47,882.71,,,,"     ",4.90,79.76,4.50
