SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
2314,602870499,"02314M00:00:48.620","02313 23:10:22",219.90,829.30,,,,"     ",6.10,,
2314,602870500,"02314M00:00:49.593","02313 23:10:23",219.98,829.32,,,,"     ",6.10,102.73,5.25
2314,602870501,"02314M00:00:50.566","02313 23:10:24",220.05,829.27,,,,"     ",6.10,103.15,5.25
2314,602870502,"02314M00:00:51.539","02313 23:10:25",220.13,829.36,,,,"     ",6.10,102.93,5.22
2314,602870503,"02314M00:00:52.513","02313 23:10:26",220.21,829.31,,,,"     ",6.10,103.76,5.25
2314,602870504,"02314M00:00:53.486","02313 23:10:27",220.29,829.26,,,,"     ",6.10,103.35,5.22
2314,602870505,"02314M00:00:54.459","02313 23:10:28",220.37,829.34,,,,"     ",6.10,104.25,5.25
2314,602870506,"02314M00:00:55.432","02313 23:10:29",220.44,829.32,,,,"     ",6.10,104.19,5.23
2314,602870507,"02314M00:00:56.406","02313 23:10:30",220.52,829.24,,,,"     ",6.10,104.57,5.24
2314,602870508,"02314M00:00:57.379","02313 23:10:31",220.59,829.25,,,,"     ",6.10,104.57,5.22
2314,602870509,"02314M00:00:58.352","02313 23:10:32",220.66,829.25,,,,"     ",6.10,104.79,5.22
2314,602870510,"02314M00:00:59.325","02313 23:10:33",220.73,829.22,,,,"     ",6.10,104.95,5.22
2314,602870511,"02314M00:01:00.299","02313 23:10:34",220.80,829.16,,,,"     ",6.10,105.33,5.22
2314,602870512,"02314M00:01:01.272","02313 23:10:35",220.88,829.28,,,,"     ",6.10,105.39,5.22
2314,602870513,"02314M00:01:02.245","02313 23:10:36",220.98,829.25,,,,"     ",6.10,105.58,5.21
2314,602870514,"02314M00:01:03.218","02313 23:10:37",221.03,829.30,,,,"     ",6.10,105.37,5.19
2314,602870515,"02314M00:01:04.192","02313 23:10:38",221.06,829.36,,,,"     ",6.10,106.02,5.21
