SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
3037,667054399,"03037M00:00:57.265","03036 23:23:22",210.74,838.89,,,,"     ",7.10,,
3037,667054400,"03037M00:00:58.239","03036 23:23:23",210.77,838.93,,,,"     ",7.10,64.04,7.75
3037,667054401,"03037M00:00:59.212","03036 23:23:24",210.79,838.97,,,,"     ",7.10,64.14,7.74
3037,667054402,"03037M00:01:00.185","03036 23:23:25",210.80,838.93,,,,"     ",7.10,64.15,7.72
3037,667054403,"03037M00:01:01.158","03036 23:23:26",210.82,838.96,,,,"     ",7.10,64.12,7.70
3037,667054404,"03037M00:01:02.132","03036 23:23:27",210.83,838.94,,,,"     ",7.10,64.08,7.67
3037,667054405,"03037M00:01:03.105","03036 23:23:28",210.83,839.01,,,,"     ",7.10,64.23,7.67
3037,667054406,"03037M00:01:04.078","03036 23:23:29",210.84,838.95,,,,"     ",7.10,64.21,7.65
3037,667054407,"03037M00:01:05.051","03036 23:23:30",210.84,838.97,,,,"     ",7.10,64.20,7.63
3037,667054408,"03037M00:01:06.025","03036 23:23:31",210.84,838.91,,,,"     ",7.10,64.27,7.62
3037,667054409,"03037M00:01:06.998","03036 23:23:32",210.83,838.95,,,,"     ",7.10,64.23,7.60
3037,667054410,"03037M00:01:07.971","03036 23:23:33",210.83,838.91,,,,"     ",7.10,64.44,7.61
3037,667054411,"03037M00:01:08.944","03036 23:23:34",210.82,838.86,,,,"     ",7.10,64.15,7.55
3037,667054412,"03037M00:01:09.918","03036 23:23:35",210.81,838.88,,,,"     ",7.10,64.53,7.58
3037,667054413,"03037M00:01:10.891","03036 23:23:36",210.79,838.68,,,,"     ",7.10,64.91,7.61
3037,667054414,"03037M00:01:11.864","03036 23:23:37",210.75,838.74,,,,"     ",7.10,64.53,7.55
3037,667054415,"03037M00:01:12.837","03036 23:23:38",210.71,838.83,,,,"     ",7.10,64.62,7.55
3037,667054416,"03037M00:01:13.811","03036 23:23:39",210.67,838.88,,,,"     ",7.10,64.48,7.52
3037,667054417,"03037M00:01:14.784","03036 23:23:39",210.64,838.84,,,,"     ",7.10,64.63,7.52
3037,667054418,"03037M00:01:15.757","03036 23:23:40",210.61,838.78,,,,"     ",7.10,64.60,7.50
3037,667054419,"03037M00:01:16.730","03036 23:23:41",210.59,838.88,,,,"     ",7.10,63.98,7.42
3037,667054420,"03037M00:01:17.704","03036 23:23:42",210.59,838.94,,,,"     ",7.10,64.90,7.51
3037,667054421,"03037M00:01:18.677","03036 23:23:43",210.59,838.85,,,,"     ",7.10,64.62,7.46
3037,667054422,"03037M00:01:19.650","03036 23:23:44",210.60,838.96,,,,"     ",7.10,64.71,7.46
3037,667054423,"03037M00:01:20.623","03036 23:23:45",210.61,838.97,,,,"     ",7.10,64.67,7.44
3037,667054424,"03037M00:01:21.597","03036 23:23:46",210.63,838.91,,,,"     ",7.10,64.48,7.41
3037,667054425,"03037M00:01:22.570","03036 23:23:47",210.66,838.93,,,,"     ",7.10,64.88,7.44
