SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
915,478675101,"00915M00:00:44.923","00914 23:18:28",218.21,891.48,,,65.96,"  101100",4.10,,
915,478675102,"00915M00:00:45.896","00914 23:18:29",218.24,891.36,,,,"     ",4.10,82.70,5.11
915,478675103,"00915M00:00:46.869","00914 23:18:30",218.26,891.35,,,,"     ",4.10,82.66,5.10
915,478675104,"00915M00:00:47.842","00914 23:18:31",218.27,891.39,,,,"     ",4.10,82.69,5.09
915,478675105,"00915M00:00:48.816","00914 23:18:32",218.27,891.34,,,,"     ",4.10,83.27,5.11
915,478675106,"00915M00:00:49.789","00914 23:18:33",218.26,891.34,,,,"     ",4.10,83.00,5.08
915,478675107,"00915M00:00:50.762","00914 23:18:34",218.24,891.19,,,,"     ",4.10,82.96,5.06
915,478675108,"00915M00:00:51.735","00914 23:18:35",218.22,891.33,,,,"     ",4.10,83.48,5.08
915,478675109,"00915M00:00:52.709","00914 23:18:36",218.18,891.39,,,,"     ",4.10,83.29,5.06
915,478675110,"00915M00:00:53.682","00914 23:18:37",218.14,891.41,,,,"     ",4.10,83.32,5.05
915,478675111,"00915M00:00:54.655","00914 23:18:38",218.09,891.33,,,,"     ",4.10,83.53,5.05
915,478675112,"00915M00:00:55.628","00914 23:18:39",218.03,891.37,,,,"     ",4.10,83.53,5.03
915,478675113,"00915M00:00:56.602","00914 23:18:40",217.96,891.26,,,,"     ",4.10,84.13,5.06
915,478675114,"00915M00:00:57.575","00914 23:18:41",217.87,891.23,,,,"     ",4.10,84.62,5.08
915,478675115,"00915M00:00:58.548","00914 23:18:42",217.77,891.34,,,,"     ",4.10,84.52,5.06
915,478675116,"00915M00:00:59.521","00914 23:18:43",217.70,891.33,,,,"     ",4.10,84.57,5.05
915,478675117,"00915M00:01:00.495","00914 23:18:44",217.64,891.41,,,,"     ",4.10,84.51,5.04
915,478675118,"00915M00:01:01.468","00914 23:18:45",217.59,891.38,,,,"     ",4.10,84.71,5.04
915,478675119,"00915M00:01:02.441","00914 23:18:46",217.56,891.32,,,,"     ",4.10,84.87,5.04
915,478675120,"00915M00:01:03.414","00914 23:18:47",217.53,891.34,,,,"     ",4.10,85.26,5.05
915,478675121,"00915M00:01:04.388","00914 23:18:48",217.50,891.34,,,,"     ",4.10,84.88,5.02
915,478675122,"00915M00:01:05.361","00914 23:18:49",217.49,891.35,,,,"     ",4.10,85.15,5.03
915,478675123,"00915M00:01:06.334","00914 23:18:50",217.49,891.39,,,,"     ",4.10,85.41,5.03
915,478675124,"00915M00:01:07.307","00914 23:18:51",217.51,891.34,,,,"     ",4.10,85.68,5.04
915,478675125,"00915M00:01:08.281","00914 23:18:52",217.55,891.42,,,,"     ",4.10,85.83,5.04
915,478675126,"00915M00:01:09.254","00914 23:18:53",217.60,891.38,,,,"     ",4.10,86.00,5.04
915,478675127,"00915M00:01:10.227","00914 23:18:54",217.65,891.30,,,,"     ",4.10,85.81,5.02
915,478675128,"00915M00:01:11.200","00914 23:18:55",217.69,891.37,,,,"     ",4.10,85.95,5.02
915,478675129,"00915M00:01:12.174","00914 23:18:56",217.72,891.40,,,,"     ",4.10,86.19,5.03
915,478675130,"00915M00:01:13.147","00914 23:18:57",217.75,891.42,,,,"     ",4.10,85.70,4.99
915,478675131,"00915M00:01:14.120","00914 23:18:58",217.78,891.29,,,,"     ",4.10,86.06,5.00
915,478675132,"00915M00:01:15.093","00914 23:18:59",217.80,891.42,,,,"     ",4.10,86.19,5.00
915,478675133,"00915M00:01:16.067","00914 23:18:59",217.82,891.38,,,,"     ",4.10,86.62,5.02
915,478675134,"00915M00:01:17.040","00914 23:19:00",217.82,891.26,,,,"     ",4.10,86.20,4.99
915,478675135,"00915M00:01:18.013","00914 23:19:01",217.81,891.30,,,,"     ",4.10,86.25,4.98
915,478675136,"00915M00:01:18.986","00914 23:19:02",217.80,891.22,,,,"     ",4.10,86.35,4.98
915,478675137,"00915M00:01:19.960","00914 23:19:03",217.78,891.24,,,,"     ",4.10,86.21,4.96
915,478675138,"00915M00:01:20.933","00914 23:19:04",217.75,891.24,,,,"     ",4.10,86.57,4.98
915,478675139,"00915M00:01:21.906","00914 23:19:05",217.70,891.45,,,,"     ",4.10,86.88,4.99
915,478675140,"00915M00:01:22.879","00914 23:19:06",217.66,891.29,,,,"     ",4.10,86.53,4.96
915,478675141,"00915M00:01:23.853","00914 23:19:07",217.61,891.31,,,,"     ",4.10,86.72,4.97
915,478675142,"00915M00:01:24.826","00914 23:19:08",217.58,891.35,,,,"     ",4.10,86.26,4.94
915,478675143,"00915M00:01:25.799","00914 23:19:09",217.56,891.31,,,,"     ",4.10,86.60,4.95
915,478675144,"00915M00:01:26.772","00914 23:19:10",217.56,891.28,,,,"     ",4.10,86.96,4.96
915,478675145,"00915M00:01:27.746","00914 23:19:11",217.57,891.36,,,,"     ",4.10,86.94,4.96
915,478675146,"00915M00:01:28.719","00914 23:19:12",217.60,891.39,,,,"     ",4.10,87.18,4.97
915,478675147,"00915M00:01:29.692","00914 23:19:13",217.62,891.36,,,,"     ",4.10,86.81,4.94
915,478675148,"00915M00:01:30.665","00914 23:19:14",217.64,891.33,,,,"     ",4.10,87.01,4.94
915,478675149,"00915M00:01:31.639","00914 23:19:15",217.67,891.38,,,,"     ",4.10,86.97,4.94
915,478675150,"00915M00:01:32.612","00914 23:19:16",217.69,891.32,,,,"     ",4.10,86.93,4.93
915,478675151,"00915M00:01:33.585","00914 23:19:17",217.72,891.38,,,,"     ",4.10,87.16,4.94
915,478675152,"00915M00:01:34.558","00914 23:19:18",217.73,891.32,,,,"     ",4.10,86.86,4.92
915,478675153,"00915M00:01:35.532","00914 23:19:19",217.75,891.39,,,,"     ",4.10,86.73,4.90
915,478675154,"00915M00:01:36.505","00914 23:19:20",217.75,891.36,,,,"     ",4.10,86.70,4.90
915,478675155,"00915M00:01:37.478","00914 23:19:21",217.74,891.36,,,,"     ",4.10,86.93,4.91
915,478675156,"00915M00:01:38.451","00914 23:19:22",217.71,891.41,,,,"     ",4.10,86.59,4.88
915,478675157,"00915M00:01:39.425","00914 23:19:23",217.67,891.30,,,,"     ",4.10,86.48,4.87
915,478675158,"00915M00:01:40.398","00914 23:19:24",217.64,891.36,,,,"     ",4.10,86.58,4.87
915,478675159,"00915M00:01:41.371","00914 23:19:25",217.60,891.32,,,,"     ",4.10,86.40,4.86
915,478675160,"00915M00:01:42.344","00914 23:19:26",217.56,891.35,,,,"     ",4.10,86.50,4.86
915,478675161,"00915M00:01:43.318","00914 23:19:27",217.52,891.20,,,,"     ",4.10,86.62,4.86
915,478675162,"00915M00:01:44.291","00914 23:19:28",217.48,891.26,,,,"     ",4.10,86.61,4.86
915,478675163,"00915M00:01:45.264","00914 23:19:29",217.44,891.28,,,,"     ",4.10,86.68,4.86
915,478675164,"00915M00:01:46.238","00914 23:19:30",217.41,891.30,,,,"     ",4.10,86.24,4.84
915,478675165,"00915M00:01:47.211","00914 23:19:31",217.38,891.25,,,,"     ",4.10,86.66,4.86
915,478675166,"00915M00:01:48.184","00914 23:19:32",217.38,891.30,,,,"     ",4.10,86.33,4.83
915,478675167,"00915M00:01:49.157","00914 23:19:33",217.38,891.27,,,,"     ",4.10,86.06,4.82
915,478675168,"00915M00:01:50.131","00914 23:19:34",217.39,891.22,,,,"     ",4.10,86.32,4.83
915,478675169,"00915M00:01:51.104","00914 23:19:35",217.40,891.21,,,,"     ",4.10,86.20,4.82
915,478675170,"00915M00:01:52.077","00914 23:19:35",217.42,891.24,,,,"     ",4.10,85.77,4.79
915,478675171,"00915M00:01:53.050","00914 23:19:36",217.42,891.27,,,,"     ",4.10,86.21,4.81
915,478675172,"00915M00:01:54.024","00914 23:19:37",217.41,891.25,,,,"     ",4.10,86.32,4.82
915,478675173,"00915M00:01:54.997","00914 23:19:38",217.39,891.24,,,,"     ",4.10,86.44,4.82
915,478675174,"00915M00:01:55.970","00914 23:19:39",217.38,891.26,,,,"     ",4.10,86.04,4.80
915,478675175,"00915M00:01:56.943","00914 23:19:40",217.38,891.23,,,,"     ",4.10,85.97,4.79
915,478675176,"00915M00:01:57.917","00914 23:19:41",217.42,891.22,,,,"     ",4.10,85.77,4.78
915,478675177,"00915M00:01:58.890","00914 23:19:42",217.48,891.22,,,,"     ",4.10,86.28,4.80
915,478675178,"00915M00:01:59.863","00914 23:19:43",217.58,891.28,,,,"     ",4.10,85.84,4.78
