SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
1842,560968999,"01842M00:01:07.792","01842 00:08:53",203.23,886.67,,,,"     ",5.40,,
1842,560969000,"01842M00:01:08.765","01842 00:08:54",203.33,886.61,,,,"     ",5.40,48.47,17.07
1842,560969001,"01842M00:01:09.738","01842 00:08:55",203.40,886.70,,,,"     ",5.40,48.53,17.06
1842,560969002,"01842M00:01:10.711","01842 00:08:56",203.46,886.67,,,,"     ",5.40,48.69,17.07
1842,560969003,"01842M00:01:11.685","01842 00:08:57",203.51,886.71,,,,"     ",5.40,48.63,17.01
1842,560969004,"01842M00:01:12.658","01842 00:08:58",203.55,886.74,,,,"     ",5.40,48.62,16.96
1842,560969005,"01842M00:01:13.631","01842 00:08:59",203.58,886.67,,,,"     ",5.40,48.72,16.96
1842,560969006,"01842M00:01:14.604","01842 00:09:00",203.60,886.65,,,,"     ",5.40,48.73,16.92
1842,560969007,"01842M00:01:15.578","01842 00:09:01",203.61,886.65,,,,"     ",5.40,48.95,16.97
1842,560969008,"01842M00:01:16.551","01842 00:09:02",203.61,886.61,,,,"     ",5.40,48.70,16.83
1842,560969009,"01842M00:01:17.524","01842 00:09:03",203.60,886.64,,,,"     ",5.40,48.84,16.85
1842,560969010,"01842M00:01:18.497","01842 00:09:04",203.57,886.65,,,,"     ",5.40,48.89,16.83
1842,560969011,"01842M00:01:19.471","01842 00:09:05",203.54,886.67,,,,"     ",5.40,48.81,16.76
1842,560969012,"01842M00:01:20.444","01842 00:09:06",203.47,886.62,,,,"     ",5.40,48.92,16.77
1842,560969013,"01842M00:01:21.417","01842 00:09:07",203.40,886.71,,,,"     ",5.40,49.08,16.79
1842,560969014,"01842M00:01:22.390","01842 00:09:08",203.37,886.65,,,,"     ",5.40,49.10,16.77
1842,560969015,"01842M00:01:23.364","01842 00:09:09",203.38,886.69,,,,"     ",5.40,49.07,16.72
1842,560969016,"01842M00:01:24.337","01842 00:09:10",203.41,886.68,,,,"     ",5.40,49.23,16.74
1842,560969017,"01842M00:01:25.310","01842 00:09:11",203.46,886.68,,,,"     ",5.40,49.20,16.70
1842,560969018,"01842M00:01:26.283","01842 00:09:12",203.51,886.76,,,,"     ",5.40,49.18,16.67
1842,560969019,"01842M00:01:27.257","01842 00:09:13",203.58,886.77,,,,"     ",5.40,49.16,16.63
1842,560969020,"01842M00:01:28.230","01842 00:09:14",203.65,886.73,,,,"     ",5.40,49.23,16.62
1842,560969021,"01842M00:01:29.203","01842 00:09:15",203.72,886.75,,,,"     ",5.40,49.32,16.62
1842,560969022,"01842M00:01:30.176","01842 00:09:16",203.78,886.82,,,,"     ",5.40,49.26,16.57
1842,560969023,"01842M00:01:31.150","01842 00:09:17",203.82,886.74,,,,"     ",5.40,49.39,16.59
1842,560969024,"01842M00:01:32.123","01842 00:09:18",203.84,886.68,,,,"     ",5.40,49.46,16.59
1842,560969025,"01842M00:01:33.096","01842 00:09:18",203.84,886.74,,,,"     ",5.40,49.40,16.54
1842,560969026,"01842M00:01:34.069","01842 00:09:19",203.83,886.82,,,,"     ",5.40,49.45,16.52
1842,560969027,"01842M00:01:35.043","01842 00:09:20",203.84,886.81,,,,"     ",5.40,49.53,16.53
1842,560969028,"01842M00:01:36.016","01842 00:09:21",203.86,886.76,,,,"     ",5.40,49.53,16.51
1842,560969029,"01842M00:01:36.989","01842 00:09:22",203.89,886.75,,,,"     ",5.40,49.60,16.51
1842,560969030,"01842M00:01:37.962","01842 00:09:23",203.92,886.75,,,,"     ",5.40,49.53,16.45
1842,560969031,"01842M00:01:38.936","01842 00:09:24",203.93,886.77,,,,"     ",5.40,49.52,16.43
1842,560969032,"01842M00:01:39.909","01842 00:09:25",203.93,886.76,,,,"     ",5.40,49.54,16.41
1842,560969033,"01842M00:01:40.882","01842 00:09:26",203.91,886.77,,,,"     ",5.40,49.57,16.39
1842,560969034,"01842M00:01:41.855","01842 00:09:27",203.87,886.74,,,,"     ",5.40,49.59,16.38
1842,560969035,"01842M00:01:42.829","01842 00:09:28",203.81,886.74,,,,"     ",5.40,49.63,16.37
1842,560969036,"01842M00:01:43.802","01842 00:09:29",203.73,886.74,,,,"     ",5.40,49.65,16.35
1842,560969037,"01842M00:01:44.775","01842 00:09:30",203.65,886.81,,,,"     ",5.40,49.69,16.35
1842,560969038,"01842M00:01:45.748","01842 00:09:31",203.60,886.72,,,,"     ",5.40,49.57,16.28
1842,560969039,"01842M00:01:46.722","01842 00:09:32",203.56,886.76,,,,"     ",5.40,49.83,16.35
1842,560969040,"01842M00:01:47.695","01842 00:09:33",203.54,886.79,,,,"     ",5.40,49.54,16.22
1842,560969041,"01842M00:01:48.668","01842 00:09:34",203.52,886.75,,,,"     ",5.40,49.64,16.24
1842,560969042,"01842M00:01:49.641","01842 00:09:35",203.50,886.72,,,,"     ",5.40,49.66,16.23
1842,560969043,"01842M00:01:50.615","01842 00:09:36",203.49,886.74,,,,"     ",5.40,49.75,16.24
1842,560969044,"01842M00:01:51.588","01842 00:09:37",203.48,886.70,,,,"     ",5.40,49.72,16.21
1842,560969045,"01842M00:01:52.561","01842 00:09:38",203.50,886.74,,,,"     ",5.40,49.68,16.18
1842,560969046,"01842M00:01:53.534","01842 00:09:39",203.54,886.81,,,,"     ",5.40,49.67,16.15
1842,560969047,"01842M00:01:54.508","01842 00:09:40",203.59,886.85,,,,"     ",5.40,49.55,16.09
1842,560969048,"01842M00:01:55.481","01842 00:09:41",203.63,886.77,,,,"     ",5.40,49.62,16.10
1842,560969049,"01842M00:01:56.454","01842 00:09:42",203.64,886.86,,,,"     ",5.40,49.64,16.09
1842,560969050,"01842M00:01:57.428","01842 00:09:43",203.62,886.78,,,,"     ",5.40,49.68,16.09
1842,560969051,"01842M00:01:58.401","01842 00:09:44",203.55,886.78,,,,"     ",5.40,49.73,16.09
1842,560969052,"01842M00:01:59.374","01842 00:09:45",203.45,886.77,,,,"     ",5.40,50.08,16.18
1842,560969053,"01842M00:02:00.347","01842 00:09:46",203.35,886.82,,,,"     ",5.40,49.78,16.07
1842,560969054,"01842M00:02:01.321","01842 00:09:47",203.27,886.72,,,,"     ",5.40,49.61,15.99
1842,560969055,"01842M00:02:02.294","01842 00:09:48",203.20,886.80,,,,"     ",5.40,49.61,15.98
1842,560969056,"01842M00:02:03.267","01842 00:09:49",203.15,886.80,,,,"     ",5.40,49.67,15.99
1842,560969057,"01842M00:02:04.240","01842 00:09:50",203.13,886.79,,,,"     ",5.40,49.57,15.94
1842,560969058,"01842M00:02:05.214","01842 00:09:51",203.12,886.73,,,,"     ",5.40,49.62,15.94
1842,560969059,"01842M00:02:06.187","01842 00:09:52",203.12,886.83,,,,"     ",5.40,49.45,15.87
1842,560969060,"01842M00:02:07.160","01842 00:09:53",203.13,886.83,,,,"     ",5.40,49.75,15.95
1842,560969061,"01842M00:02:08.133","01842 00:09:54",203.14,886.74,,,,"     ",5.40,49.74,15.93
1842,560969062,"01842M00:02:09.107","01842 00:09:54",203.16,886.73,,,,"     ",5.40,49.75,15.92
1842,560969063,"01842M00:02:10.080","01842 00:09:55",203.19,886.73,,,,"     ",5.40,49.62,15.87
1842,560969064,"01842M00:02:11.053","01842 00:09:56",203.26,886.73,,,,"     ",5.40,49.57,15.84
1842,560969065,"01842M00:02:12.026","01842 00:09:57",203.33,886.72,,,,"     ",5.40,49.90,15.92
1842,560969066,"01842M00:02:13.000","01842 00:09:58",203.39,886.67,,,,"     ",5.40,49.71,15.85
1842,560969067,"01842M00:02:13.973","01842 00:09:59",203.43,886.74,,,,"     ",5.40,49.72,15.84
1842,560969068,"01842M00:02:14.946","01842 00:10:00",203.46,886.69,,,,"     ",5.40,49.82,15.86
1842,560969069,"01842M00:02:15.919","01842 00:10:01",203.47,886.78,,,,"     ",5.40,49.71,15.81
1842,560969070,"01842M00:02:16.893","01842 00:10:02",203.47,886.71,,,,"     ",5.40,49.92,15.86
1842,560969071,"01842M00:02:17.866","01842 00:10:03",203.49,886.74,,,,"     ",5.40,49.95,15.86
1842,560969072,"01842M00:02:18.839","01842 00:10:04",203.53,886.79,,,,"     ",5.40,49.85,15.82
1842,560969073,"01842M00:02:19.812","01842 00:10:05",203.58,886.76,,,,"     ",5.40,49.90,15.82
1842,560969074,"01842M00:02:20.786","01842 00:10:06",203.65,886.83,,,,"     ",5.40,49.80,15.77
1842,560969075,"01842M00:02:21.759","01842 00:10:07",203.72,886.80,,,,"     ",5.40,49.87,15.79
1842,560969076,"01842M00:02:22.732","01842 00:10:08",203.79,886.82,,,,"     ",5.40,49.95,15.79
1842,560969077,"01842M00:02:23.705","01842 00:10:09",203.85,886.83,,,,"     ",5.40,50.06,15.82
1842,560969078,"01842M00:02:24.679","01842 00:10:10",203.92,886.83,,,,"     ",5.40,50.06,15.80
1842,560969079,"01842M00:02:25.652","01842 00:10:11",203.99,886.85,,,,"     ",5.40,49.80,15.71
1842,560969080,"01842M00:02:26.625","01842 00:10:12",204.06,886.74,,,,"     ",5.40,49.99,15.76
1842,560969081,"01842M00:02:27.598","01842 00:10:13",204.11,886.81,,,,"     ",5.40,50.02,15.76
1842,560969082,"01842M00:02:28.572","01842 00:10:14",204.17,886.80,,,,"     ",5.40,49.96,15.72
1842,560969083,"01842M00:02:29.545","01842 00:10:15",204.22,886.83,,,,"     ",5.40,49.98,15.72
1842,560969084,"01842M00:02:30.518","01842 00:10:16",204.26,886.84,,,,"     ",5.40,49.92,15.68
1842,560969085,"01842M00:02:31.491","01842 00:10:17",204.27,886.83,,,,"     ",5.40,49.99,15.69
1842,560969086,"01842M00:02:32.465","01842 00:10:18",204.27,886.91,,,,"     ",5.40,50.13,15.73
1842,560969087,"01842M00:02:33.438","01842 00:10:19",204.25,886.93,,,,"     ",5.40,50.19,15.74
1842,560969088,"01842M00:02:34.411","01842 00:10:20",204.24,886.96,,,,"     ",5.40,50.11,15.70
1842,560969089,"01842M00:02:35.384","01842 00:10:21",204.24,886.91,,,,"     ",5.40,50.19,15.72
1842,560969090,"01842M00:02:36.358","01842 00:10:22",204.25,886.86,,,,"     ",5.40,50.08,15.67
1842,560969091,"01842M00:02:37.331","01842 00:10:23",204.27,886.90,,,,"     ",5.40,50.18,15.69
1842,560969092,"01842M00:02:38.304","01842 00:10:24",204.30,886.85,,,,"     ",5.40,50.12,15.66
1842,560969093,"01842M00:02:39.277","01842 00:10:25",204.33,886.76,,,,"     ",5.40,50.32,15.70
1842,560969094,"01842M00:02:40.251","01842 00:10:26",204.35,886.77,,,,"     ",5.40,50.27,15.68
1842,560969095,"01842M00:02:41.224","01842 00:10:27",204.35,886.80,,,,"     ",5.40,50.36,15.70
1842,560969096,"01842M00:02:42.197","01842 00:10:28",204.33,886.88,,,,"     ",5.40,50.15,15.62
1842,560969097,"01842M00:02:43.170","01842 00:10:29",204.28,886.81,,,,"     ",5.40,50.32,15.66
1842,560969098,"01842M00:02:44.144","01842 00:10:30",204.22,886.80,,,,"     ",5.40,50.20,15.61
1842,560969099,"01842M00:02:45.117","01842 00:10:31",204.13,886.79,,,,"     ",5.40,50.20,15.60
1842,560969100,"01842M00:02:46.090","01842 00:10:31",204.04,886.80,,,,"     ",5.40,50.22,15.59
1842,560969101,"01842M00:02:47.063","01842 00:10:32",203.97,886.77,,,,"     ",5.40,50.30,15.61
