SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
386,431713396,"00386M00:00:00.876","00385 23:30:40",207.99,882.35,,,53.33,"  101100",3.50,,
386,431713397,"00386M00:00:01.849","00385 23:30:41",208.06,882.35,,,,"     ",3.50,62.94,5.52
386,431713398,"00386M00:00:02.823","00385 23:30:42",208.14,882.27,,,,"     ",3.50,62.45,5.47
386,431713399,"00386M00:00:03.796","00385 23:30:43",208.21,882.27,,,,"     ",3.50,62.97,5.52
386,431713400,"00386M00:00:04.769","00385 23:30:44",208.28,882.30,,,,"     ",3.50,62.41,5.47
386,431713401,"00386M00:00:05.743","00385 23:30:45",208.35,882.29,,,,"     ",3.50,63.11,5.53
386,431713402,"00386M00:00:06.716","00385 23:30:46",208.41,882.31,,,,"     ",3.50,62.80,5.50
386,431713403,"00386M00:00:07.689","00385 23:30:47",208.47,882.26,,,,"     ",3.50,62.97,5.52
386,431713404,"00386M00:00:08.662","00385 23:30:48",208.52,882.34,,,,"     ",3.50,62.54,5.47
386,431713405,"00386M00:00:09.636","00385 23:30:49",208.57,882.35,,,,"     ",3.50,62.94,5.51
386,431713406,"00386M00:00:10.609","00385 23:30:50",208.62,882.38,,,,"     ",3.50,62.97,5.51
386,431713407,"00386M00:00:11.582","00385 23:30:51",208.66,882.34,,,,"     ",3.50,63.12,5.53
386,431713408,"00386M00:00:12.555","00385 23:30:52",208.72,882.38,,,,"     ",3.50,62.97,5.51
386,431713409,"00386M00:00:13.529","00385 23:30:53",208.77,882.36,,,,"     ",3.50,63.00,5.51
386,431713410,"00386M00:00:14.502","00385 23:30:54",208.82,882.35,,,,"     ",3.50,62.32,5.45
386,431713411,"00386M00:00:15.475","00385 23:30:55",208.79,882.36,,,,"     ",3.50,62.88,5.50
386,431713412,"00386M00:00:16.448","00385 23:30:56",208.73,882.34,,,,"     ",3.50,62.98,5.51
386,431713413,"00386M00:00:17.422","00385 23:30:57",208.67,882.42,,,,"     ",3.50,62.74,5.49
