SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
2645,632254849,"02645M00:01:13.636","02645 00:29:20",206.99,742.56,,,,"     ",6.60,,
2645,632254850,"02645M00:01:14.609","02645 00:29:21",206.92,742.58,,,,"     ",6.60,72.35,18.58
2645,632254851,"02645M00:01:15.583","02645 00:29:22",206.85,742.58,,,,"     ",6.60,72.04,18.45
2645,632254852,"02645M00:01:16.556","02645 00:29:23",206.80,742.65,,,,"     ",6.60,72.10,18.43
2645,632254853,"02645M00:01:17.529","02645 00:29:24",206.74,742.56,,,,"     ",6.60,71.99,18.35
2645,632254854,"02645M00:01:18.502","02645 00:29:25",206.70,742.61,,,,"     ",6.60,72.29,18.39
2645,632254855,"02645M00:01:19.476","02645 00:29:26",206.66,742.55,,,,"     ",6.60,72.24,18.32
2645,632254856,"02645M00:01:20.449","02645 00:29:27",206.62,742.60,,,,"     ",6.60,72.27,18.29
2645,632254857,"02645M00:01:21.422","02645 00:29:28",206.59,742.62,,,,"     ",6.60,72.30,18.25
2645,632254858,"02645M00:01:22.395","02645 00:29:29",206.57,742.55,,,,"     ",6.60,72.28,18.21
2645,632254859,"02645M00:01:23.369","02645 00:29:30",206.55,742.63,,,,"     ",6.60,72.66,18.27
2645,632254860,"02645M00:01:24.342","02645 00:29:31",206.54,742.67,,,,"     ",6.60,72.65,18.23
2645,632254861,"02645M00:01:25.315","02645 00:29:32",206.54,742.65,,,,"     ",6.60,72.53,18.15
2645,632254862,"02645M00:01:26.288","02645 00:29:33",206.54,742.57,,,,"     ",6.60,72.46,18.10
2645,632254863,"02645M00:01:27.262","02645 00:29:34",206.55,742.59,,,,"     ",6.60,72.68,18.12
2645,632254864,"02645M00:01:28.235","02645 00:29:34",206.57,742.61,,,,"     ",6.60,72.54,18.05
2645,632254865,"02645M00:01:29.208","02645 00:29:35",206.59,742.69,,,,"     ",6.60,72.63,18.03
2645,632254866,"02645M00:01:30.181","02645 00:29:36",206.62,742.64,,,,"     ",6.60,72.63,18.00
