SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
1651,544013063,"01651M00:00:44.022","01650 23:10:50",215.53,852.43,,,,"     ",5.30,,
1651,544013064,"01651M00:00:44.995","01650 23:10:51",215.54,852.49,,,,"     ",5.30,93.17,5.79
1651,544013065,"01651M00:00:45.969","01650 23:10:52",215.55,852.55,,,,"     ",5.30,92.97,5.76
1651,544013066,"01651M00:00:46.942","01650 23:10:53",215.57,852.52,,,,"     ",5.30,93.28,5.76
1651,544013067,"01651M00:00:47.915","01650 23:10:54",214.71,852.39,,,,"     ",5.30,93.28,5.75
1651,544013068,"01651M00:00:48.888","01650 23:10:55",214.73,852.32,,,,"     ",5.30,93.39,5.73
1651,544013069,"01651M00:00:49.862","01650 23:10:56",214.76,852.48,,,,"     ",5.30,93.61,5.73
1651,544013070,"01651M00:00:50.835","01650 23:10:57",214.79,852.40,,,,"     ",5.30,93.99,5.74
1651,544013071,"01651M00:00:51.808","01650 23:10:58",214.81,852.45,,,,"     ",5.30,94.06,5.73
1651,544013072,"01651M00:00:52.781","01650 23:10:59",214.84,852.52,,,,"     ",5.30,94.25,5.72
1651,544013073,"01651M00:00:53.755","01650 23:11:00",214.87,852.56,,,,"     ",5.30,94.44,5.72
1651,544013074,"01651M00:00:54.728","01650 23:11:01",214.90,852.50,,,,"     ",5.30,94.19,5.69
1651,544013075,"01651M00:00:55.701","01650 23:11:02",214.94,852.41,,,,"     ",5.30,94.57,5.70
1651,544013076,"01651M00:00:56.675","01650 23:11:03",214.97,852.49,,,,"     ",5.30,94.65,5.68
1651,544013077,"01651M00:00:57.648","01650 23:11:04",215.02,852.47,,,,"     ",5.30,94.68,5.67
1651,544013078,"01651M00:00:58.621","01650 23:11:05",215.04,852.62,,,,"     ",5.30,95.04,5.68
1651,544013079,"01651M00:00:59.594","01650 23:11:06",215.05,852.54,,,,"     ",5.30,95.17,5.68
1651,544013080,"01651M00:01:00.568","01650 23:11:07",216.08,852.70,,,,"     ",5.30,95.02,5.65
1651,544013081,"01651M00:01:01.541","01650 23:11:08",216.09,852.52,,,,"     ",5.30,95.29,5.65
1651,544013082,"01651M00:01:02.514","01650 23:11:09",216.09,852.69,,,,"     ",5.30,95.31,5.64
1651,544013083,"01651M00:01:03.487","01650 23:11:10",216.09,852.62,,,,"     ",5.30,95.48,5.64
1651,544013084,"01651M00:01:04.461","01650 23:11:11",216.07,852.55,,,,"     ",5.30,95.87,5.65
1651,544013085,"01651M00:01:05.434","01650 23:11:12",216.05,852.67,,,,"     ",5.30,95.70,5.63
1651,544013086,"01651M00:01:06.407","01650 23:11:13",216.02,852.63,,,,"     ",5.30,95.80,5.62
1651,544013087,"01651M00:01:07.380","01650 23:11:14",215.98,852.75,,,,"     ",5.30,95.82,5.61
1651,544013088,"01651M00:01:08.354","01650 23:11:14",215.93,852.61,,,,"     ",5.30,95.45,5.58
1651,544013089,"01651M00:01:09.327","01650 23:11:15",215.87,852.56,,,,"     ",5.30,95.77,5.58
1651,544013090,"01651M00:01:10.300","01650 23:11:16",215.81,852.59,,,,"     ",5.30,96.35,5.61
1651,544013091,"01651M00:01:11.273","01650 23:11:17",215.74,852.67,,,,"     ",5.30,95.77,5.56
