SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
2372,608019365,"02372M00:00:00.389","02371 23:23:29",208.02,838.00,,,,"     ",6.30,,
2372,608019366,"02372M00:00:01.362","02371 23:23:30",207.96,837.98,,,,"     ",6.30,75.11,5.90
2372,608019367,"02372M00:00:02.336","02371 23:23:31",207.90,837.99,,,,"     ",6.30,74.67,5.86
2372,608019368,"02372M00:00:03.309","02371 23:23:32",207.85,838.07,,,,"     ",6.30,74.90,5.88
2372,608019369,"02372M00:00:04.282","02371 23:23:33",207.31,838.02,,,,"     ",6.30,74.88,5.88
2372,608019370,"02372M00:00:05.255","02371 23:23:34",207.25,838.03,,,,"     ",6.30,74.82,5.88
2372,608019371,"02372M00:00:06.229","02371 23:23:35",207.20,837.98,,,,"     ",6.30,74.59,5.86
2372,608019372,"02372M00:00:07.202","02371 23:23:36",207.15,838.06,,,,"     ",6.30,74.56,5.86
2372,608019373,"02372M00:00:08.175","02371 23:23:37",207.11,838.15,,,,"     ",6.30,74.98,5.89
2372,608019374,"02372M00:00:09.148","02371 23:23:38",207.07,838.06,,,,"     ",6.30,74.98,5.89
2372,608019375,"02372M00:00:10.122","02371 23:23:39",207.04,837.99,,,,"     ",6.30,74.72,5.87
2372,608019376,"02372M00:00:11.095","02371 23:23:40",207.01,838.02,,,,"     ",6.30,74.68,5.87
2372,608019377,"02372M00:00:12.068","02371 23:23:41",206.98,838.02,,,,"     ",6.30,74.89,5.89
2372,608019378,"02372M00:00:13.042","02371 23:23:42",206.96,838.00,,,,"     ",6.30,74.81,5.88
2372,608019379,"02372M00:00:14.015","02371 23:23:43",206.94,838.01,,,,"     ",6.30,75.20,5.91
2372,608019380,"02372M00:00:14.988","02371 23:23:44",206.93,838.05,,,,"     ",6.30,74.91,5.89
2372,608019381,"02372M00:00:15.961","02371 23:23:45",207.54,838.07,,,,"     ",6.30,74.82,5.88
2372,608019382,"02372M00:00:16.935","02371 23:23:46",207.55,837.96,,,,"     ",6.30,74.07,5.82
2372,608019383,"02372M00:00:17.908","02371 23:23:47",207.55,837.98,,,,"     ",6.30,75.27,5.92
2372,608019384,"02372M00:00:18.881","02371 23:23:48",207.56,838.03,,,,"     ",6.30,74.68,5.87
2372,608019385,"02372M00:00:19.854","02371 23:23:49",207.59,838.08,,,,"     ",6.30,74.86,5.89
2372,608019386,"02372M00:00:20.828","02371 23:23:50",207.60,838.11,,,,"     ",6.30,74.61,5.87
2372,608019387,"02372M00:00:21.801","02371 23:23:51",207.61,838.06,,,,"     ",6.30,74.70,5.88
2372,608019388,"02372M00:00:22.774","02371 23:23:52",207.62,838.02,,,,"     ",6.30,74.92,5.90
2372,608019389,"02372M00:00:23.747","02371 23:23:53",207.64,838.09,,,,"     ",6.30,74.65,5.87
2372,608019390,"02372M00:00:24.721","02371 23:23:54",207.66,838.11,,,,"     ",6.30,75.14,5.91
2372,608019391,"02372M00:00:25.694","02371 23:23:55",207.69,838.12,,,,"     ",6.30,75.14,5.92
2372,608019392,"02372M00:00:26.667","02371 23:23:56",207.72,838.08,,,,"     ",6.30,74.85,5.89
2372,608019393,"02372M00:00:27.640","02371 23:23:56",207.74,838.12,,,,"     ",6.30,74.57,5.87
2372,608019394,"02372M00:00:28.614","02371 23:23:57",207.76,838.08,,,,"     ",6.30,74.57,5.87
2372,608019395,"02372M00:00:29.587","02371 23:23:58",207.78,838.01,,,,"     ",6.30,74.98,5.90
2372,608019396,"02372M00:00:30.560","02371 23:23:59",207.79,838.01,,,,"     ",6.30,74.77,5.89
2372,608019397,"02372M00:00:31.533","02371 23:24:00",207.79,838.04,,,,"     ",6.30,74.54,5.87
2372,608019398,"02372M00:00:32.507","02371 23:24:01",207.78,838.15,,,,"     ",6.30,75.16,5.92
2372,608019399,"02372M00:00:33.480","02371 23:24:02",207.78,838.12,,,,"     ",6.30,74.95,5.90
2372,608019400,"02372M00:00:34.453","02371 23:24:03",207.78,838.13,,,,"     ",6.30,74.81,5.89
2372,608019401,"02372M00:00:35.426","02371 23:24:04",207.78,838.10,,,,"     ",6.30,74.37,5.85
2372,608019402,"02372M00:00:36.400","02371 23:24:05",207.79,838.11,,,,"     ",6.30,75.02,5.91
2372,608019403,"02372M00:00:37.373","02371 23:24:06",207.81,838.18,,,,"     ",6.30,74.84,5.90
2372,608019404,"02372M00:00:38.346","02371 23:24:07",207.82,838.14,,,,"     ",6.30,74.66,5.88
2372,608019405,"02372M00:00:39.319","02371 23:24:08",207.84,838.16,,,,"     ",6.30,74.68,5.88
2372,608019406,"02372M00:00:40.293","02371 23:24:09",207.86,838.15,,,,"     ",6.30,74.55,5.87
2372,608019407,"02372M00:00:41.266","02371 23:24:10",207.89,838.14,,,,"     ",6.30,74.26,5.85
2372,608019408,"02372M00:00:42.239","02371 23:24:11",207.92,838.20,,,,"     ",6.30,74.72,5.89
2372,608019409,"02372M00:00:43.212","02371 23:24:12",207.94,838.19,,,,"     ",6.30,74.24,5.85
2372,608019410,"02372M00:00:44.186","02371 23:24:13",207.96,838.17,,,,"     ",6.30,74.81,5.90
2372,608019411,"02372M00:00:45.159","02371 23:24:14",207.98,838.13,,,,"     ",6.30,74.22,5.85
2372,608019412,"02372M00:00:46.132","02371 23:24:15",207.99,838.18,,,,"     ",6.30,74.39,5.86
2372,608019413,"02372M00:00:47.105","02371 23:24:16",208.01,838.21,,,,"     ",6.30,74.70,5.89
2372,608019414,"02372M00:00:48.079","02371 23:24:17",208.01,838.20,,,,"     ",6.30,74.68,5.89
2372,608019415,"02372M00:00:49.052","02371 23:24:18",208.02,838.20,,,,"     ",6.30,74.79,5.90
2372,608019416,"02372M00:00:50.025","02371 23:24:19",208.02,838.13,,,,"     ",6.30,74.80,5.90
2372,608019432,"02372M00:01:05.597","02371 23:24:34",207.84,838.26,,,,"     ",6.30,,
2372,608019433,"02372M00:01:06.570","02371 23:24:35",207.85,838.18,,,,"     ",6.30,73.85,5.84
2372,608019434,"02372M00:01:07.544","02371 23:24:36",207.87,838.24,,,,"     ",6.30,74.05,5.86
2372,608019435,"02372M00:01:08.517","02371 23:24:37",207.88,838.22,,,,"     ",6.30,74.08,5.86
2372,608019436,"02372M00:01:09.490","02371 23:24:38",207.88,838.30,,,,"     ",6.30,74.36,5.88
2372,608019437,"02372M00:01:10.463","02371 23:24:39",207.89,838.28,,,,"     ",6.30,74.30,5.88
2372,608019438,"02372M00:01:11.437","02371 23:24:40",207.89,838.32,,,,"     ",6.30,74.22,5.87
2372,608019439,"02372M00:01:12.410","02371 23:24:41",207.90,838.30,,,,"     ",6.30,74.47,5.89
