SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
1883,564608758,"01883M00:01:15.917","01883 00:16:13",204.35,842.13,,,,"     ",5.60,,
1883,564608759,"01883M00:01:16.890","01883 00:16:14",204.43,842.04,,,,"     ",5.60,61.72,21.03
1883,564608760,"01883M00:01:17.863","01883 00:16:15",204.51,842.07,,,,"     ",5.60,61.97,21.06
1883,564608761,"01883M00:01:18.837","01883 00:16:16",204.59,842.14,,,,"     ",5.60,61.97,21.02
1883,564608762,"01883M00:01:19.810","01883 00:16:17",204.66,842.08,,,,"     ",5.60,62.01,20.98
1883,564608763,"01883M00:01:20.783","01883 00:16:18",204.74,842.03,,,,"     ",5.60,62.03,20.93
1883,564608764,"01883M00:01:21.756","01883 00:16:19",204.81,842.03,,,,"     ",5.60,62.44,21.03
1883,564608765,"01883M00:01:22.730","01883 00:16:20",204.88,842.03,,,,"     ",5.60,62.28,20.92
1883,564608766,"01883M00:01:23.703","01883 00:16:21",204.95,841.97,,,,"     ",5.60,62.46,20.93
1883,564608767,"01883M00:01:24.676","01883 00:16:22",205.01,842.00,,,,"     ",5.60,62.49,20.90
1883,564608768,"01883M00:01:25.649","01883 00:16:23",205.07,842.03,,,,"     ",5.60,62.53,20.86
1883,564608769,"01883M00:01:26.623","01883 00:16:24",205.12,842.03,,,,"     ",5.60,62.46,20.80
1883,564608770,"01883M00:01:27.596","01883 00:16:25",205.18,842.07,,,,"     ",5.60,62.56,20.78
1883,564608771,"01883M00:01:28.569","01883 00:16:26",205.24,842.07,,,,"     ",5.60,62.72,20.80
1883,564608772,"01883M00:01:29.542","01883 00:16:27",205.33,842.12,,,,"     ",5.60,62.95,20.84
1883,564608773,"01883M00:01:30.516","01883 00:16:28",205.38,842.09,,,,"     ",5.60,62.81,20.74
1883,564608774,"01883M00:01:31.489","01883 00:16:29",205.41,842.04,,,,"     ",5.60,62.91,20.74
1883,564608775,"01883M00:01:32.462","01883 00:16:30",205.40,842.01,,,,"     ",5.60,62.88,20.69
1883,564608776,"01883M00:01:33.435","01883 00:16:31",205.38,842.06,,,,"     ",5.60,63.07,20.71
1883,564608777,"01883M00:01:34.409","01883 00:16:32",205.35,842.10,,,,"     ",5.60,63.08,20.68
1883,564608778,"01883M00:01:35.382","01883 00:16:33",205.32,842.02,,,,"     ",5.60,63.06,20.63
1883,564608779,"01883M00:01:36.355","01883 00:16:33",205.31,842.06,,,,"     ",5.60,63.15,20.62
1883,564608780,"01883M00:01:37.328","01883 00:16:34",205.31,842.06,,,,"     ",5.60,63.14,20.58
1883,564608781,"01883M00:01:38.302","01883 00:16:35",205.33,842.05,,,,"     ",5.60,63.19,20.56
1883,564608782,"01883M00:01:39.275","01883 00:16:36",205.38,842.13,,,,"     ",5.60,63.12,20.50
1883,564608783,"01883M00:01:40.248","01883 00:16:37",205.43,842.12,,,,"     ",5.60,63.26,20.51
1883,564608784,"01883M00:01:41.221","01883 00:16:38",205.48,842.04,,,,"     ",5.60,63.35,20.49
1883,564608785,"01883M00:01:42.195","01883 00:16:39",205.51,842.05,,,,"     ",5.60,63.37,20.47
1883,564608786,"01883M00:01:43.168","01883 00:16:40",205.52,842.04,,,,"     ",5.60,63.43,20.45
1883,564608787,"01883M00:01:44.141","01883 00:16:41",205.53,842.06,,,,"     ",5.60,63.50,20.44
1883,564608788,"01883M00:01:45.114","01883 00:16:42",205.53,842.00,,,,"     ",5.60,63.51,20.41
1883,564608789,"01883M00:01:46.088","01883 00:16:43",205.56,842.09,,,,"     ",5.60,63.59,20.41
1883,564608790,"01883M00:01:47.061","01883 00:16:44",205.61,842.12,,,,"     ",5.60,63.58,20.37
1883,564608791,"01883M00:01:48.034","01883 00:16:45",205.68,842.15,,,,"     ",5.60,63.63,20.36
1883,564608792,"01883M00:01:49.007","01883 00:16:46",205.76,842.07,,,,"     ",5.60,63.78,20.37
1883,564608793,"01883M00:01:49.981","01883 00:16:47",205.88,842.16,,,,"     ",5.60,63.76,20.33
1883,564608794,"01883M00:01:50.954","01883 00:16:48",206.02,842.17,,,,"     ",5.60,63.84,20.33
1883,564608795,"01883M00:01:51.927","01883 00:16:49",206.19,842.10,,,,"     ",5.60,63.76,20.27
1883,564608796,"01883M00:01:52.900","01883 00:16:50",206.36,842.17,,,,"     ",5.60,63.79,20.24
1883,564608797,"01883M00:01:53.874","01883 00:16:51",206.51,842.22,,,,"     ",5.60,64.01,20.29
1883,564608798,"01883M00:01:54.847","01883 00:16:52",206.64,842.22,,,,"     ",5.60,63.83,20.20
1883,564608799,"01883M00:01:55.820","01883 00:16:53",206.76,842.18,,,,"     ",5.60,63.95,20.20
1883,564608800,"01883M00:01:56.793","01883 00:16:54",206.85,842.07,,,,"     ",5.60,63.80,20.12
1883,564608801,"01883M00:01:57.767","01883 00:16:55",206.92,842.05,,,,"     ",5.60,64.38,20.29
1883,564608802,"01883M00:01:58.740","01883 00:16:56",206.96,842.11,,,,"     ",5.60,63.84,20.08
1883,564608803,"01883M00:01:59.713","01883 00:16:57",206.94,842.14,,,,"     ",5.60,64.15,20.15
1883,564608804,"01883M00:02:00.686","01883 00:16:58",206.89,842.12,,,,"     ",5.60,64.10,20.11
1883,564608805,"01883M00:02:01.660","01883 00:16:59",206.79,842.04,,,,"     ",5.60,64.12,20.09
1883,564608806,"01883M00:02:02.633","01883 00:17:00",206.68,842.10,,,,"     ",5.60,63.96,20.01
1883,564608807,"01883M00:02:03.606","01883 00:17:01",206.59,842.10,,,,"     ",5.60,64.10,20.02
1883,564608808,"01883M00:02:04.579","01883 00:17:02",206.54,842.12,,,,"     ",5.60,63.85,19.92
1883,564608809,"01883M00:02:05.553","01883 00:17:03",206.54,842.12,,,,"     ",5.60,64.12,19.98
1883,564608810,"01883M00:02:06.526","01883 00:17:04",206.60,842.09,,,,"     ",5.60,64.15,19.96
1883,564608811,"01883M00:02:07.499","01883 00:17:05",206.72,842.13,,,,"     ",5.60,64.20,19.96
1883,564608812,"01883M00:02:08.472","01883 00:17:06",206.90,842.07,,,,"     ",5.60,64.27,19.96
1883,564608813,"01883M00:02:09.446","01883 00:17:07",207.09,842.14,,,,"     ",5.60,64.23,19.91
1883,564608814,"01883M00:02:10.419","01883 00:17:08",207.27,842.12,,,,"     ",5.60,64.41,19.95
1883,564608815,"01883M00:02:11.392","01883 00:17:09",207.41,842.09,,,,"     ",5.60,64.28,19.88
1883,564608816,"01883M00:02:12.365","01883 00:17:09",207.51,842.07,,,,"     ",5.60,64.42,19.91
1883,564608817,"01883M00:02:13.339","01883 00:17:10",207.58,842.13,,,,"     ",5.60,64.26,19.83
1883,564608818,"01883M00:02:14.312","01883 00:17:11",207.65,842.05,,,,"     ",5.60,64.38,19.85
1883,564608819,"01883M00:02:15.285","01883 00:17:12",207.71,842.01,,,,"     ",5.60,64.28,19.79
1883,564608820,"01883M00:02:16.259","01883 00:17:13",207.78,842.09,,,,"     ",5.60,64.45,19.83
1883,564608821,"01883M00:02:17.232","01883 00:17:14",207.83,842.17,,,,"     ",5.60,64.35,19.78
1883,564608822,"01883M00:02:18.205","01883 00:17:15",207.86,842.19,,,,"     ",5.60,64.46,19.79
1883,564608823,"01883M00:02:19.178","01883 00:17:16",207.87,842.04,,,,"     ",5.60,64.47,19.76
1883,564608824,"01883M00:02:20.152","01883 00:17:17",207.83,842.03,,,,"     ",5.60,64.48,19.75
1883,564608825,"01883M00:02:21.125","01883 00:17:18",207.79,842.07,,,,"     ",5.60,64.56,19.75
1883,564608826,"01883M00:02:22.098","01883 00:17:19",207.75,842.16,,,,"     ",5.60,64.52,19.72
1883,564608827,"01883M00:02:23.071","01883 00:17:20",207.71,842.12,,,,"     ",5.60,64.40,19.66
1883,564608828,"01883M00:02:24.045","01883 00:17:21",207.70,842.16,,,,"     ",5.60,64.72,19.75
1883,564608829,"01883M00:02:25.018","01883 00:17:22",207.71,842.13,,,,"     ",5.60,64.47,19.64
1883,564608830,"01883M00:02:25.991","01883 00:17:23",207.74,842.01,,,,"     ",5.60,64.68,19.69
1883,564608831,"01883M00:02:26.964","01883 00:17:24",207.79,842.13,,,,"     ",5.60,64.42,19.60
1883,564608832,"01883M00:02:27.938","01883 00:17:25",207.82,842.13,,,,"     ",5.60,64.68,19.66
1883,564608833,"01883M00:02:28.911","01883 00:17:26",207.81,842.10,,,,"     ",5.60,64.72,19.65
1883,564608834,"01883M00:02:29.884","01883 00:17:27",207.76,842.16,,,,"     ",5.60,64.58,19.58
1883,564608835,"01883M00:02:30.857","01883 00:17:28",207.67,842.14,,,,"     ",5.60,64.57,19.57
1883,564608836,"01883M00:02:31.831","01883 00:17:29",207.55,842.24,,,,"     ",5.60,64.61,19.56
1883,564608837,"01883M00:02:32.804","01883 00:17:30",207.43,842.15,,,,"     ",5.60,64.75,19.59
1883,564608838,"01883M00:02:33.777","01883 00:17:31",207.32,842.10,,,,"     ",5.60,64.90,19.62
1883,564608839,"01883M00:02:34.750","01883 00:17:32",207.24,842.06,,,,"     ",5.60,64.93,19.61
1883,564608840,"01883M00:02:35.724","01883 00:17:33",207.18,842.09,,,,"     ",5.60,65.00,19.61
1883,564608841,"01883M00:02:36.697","01883 00:17:34",207.12,842.06,,,,"     ",5.60,64.95,19.58
1883,564608842,"01883M00:02:37.670","01883 00:17:35",207.06,842.11,,,,"     ",5.60,64.87,19.54
1883,564608843,"01883M00:02:38.643","01883 00:17:36",207.02,842.19,,,,"     ",5.60,64.86,19.52
1883,564608844,"01883M00:02:39.617","01883 00:17:37",207.01,842.20,,,,"     ",5.60,65.15,19.60
1883,564608845,"01883M00:02:40.590","01883 00:17:38",207.02,842.16,,,,"     ",5.60,65.01,19.54
1883,564608846,"01883M00:02:41.563","01883 00:17:39",207.09,842.15,,,,"     ",5.60,65.01,19.52
1883,564608847,"01883M00:02:42.536","01883 00:17:40",207.20,842.13,,,,"     ",5.60,64.99,19.50
1883,564608848,"01883M00:02:43.510","01883 00:17:41",207.35,842.22,,,,"     ",5.60,65.01,19.50
1883,564608849,"01883M00:02:44.483","01883 00:17:42",207.51,842.20,,,,"     ",5.60,65.02,19.48
1883,564608850,"01883M00:02:45.456","01883 00:17:43",207.67,842.25,,,,"     ",5.60,65.17,19.52
1883,564608851,"01883M00:02:46.429","01883 00:17:44",207.81,842.25,,,,"     ",5.60,65.15,19.50
1883,564608852,"01883M00:02:47.403","01883 00:17:45",207.92,842.17,,,,"     ",5.60,65.35,19.54
1883,564608853,"01883M00:02:48.376","01883 00:17:46",207.98,842.25,,,,"     ",5.60,65.15,19.47
1883,564608854,"01883M00:02:49.349","01883 00:17:46",208.01,842.22,,,,"     ",5.60,65.25,19.49
1883,564608855,"01883M00:02:50.322","01883 00:17:47",208.01,842.23,,,,"     ",5.60,65.30,19.49
1883,564608856,"01883M00:02:51.296","01883 00:17:48",208.02,842.12,,,,"     ",5.60,65.23,19.46
1883,564608857,"01883M00:02:52.269","01883 00:17:49",208.02,842.14,,,,"     ",5.60,65.25,19.44
1883,564608858,"01883M00:02:53.242","01883 00:17:50",208.03,842.21,,,,"     ",5.60,65.24,19.43
1883,564608859,"01883M00:02:54.215","01883 00:17:51",208.06,842.11,,,,"     ",5.60,65.18,19.39
1883,564608860,"01883M00:02:55.189","01883 00:17:52",208.08,842.14,,,,"     ",5.60,65.16,19.37
1883,564608861,"01883M00:02:56.162","01883 00:17:53",208.11,842.05,,,,"     ",5.60,65.31,19.41
1883,564608862,"01883M00:02:57.135","01883 00:17:54",208.14,842.13,,,,"     ",5.60,65.42,19.43
1883,564608863,"01883M00:02:58.108","01883 00:17:55",208.20,842.20,,,,"     ",5.60,65.30,19.38
1883,564608864,"01883M00:02:59.082","01883 00:17:56",208.26,842.25,,,,"     ",5.60,65.33,19.36
1883,564608865,"01883M00:03:00.055","01883 00:17:57",208.33,842.18,,,,"     ",5.60,65.31,19.35
1883,564608866,"01883M00:03:01.028","01883 00:17:58",208.38,842.22,,,,"     ",5.60,65.36,19.35
1883,564608867,"01883M00:03:02.001","01883 00:17:59",208.42,842.14,,,,"     ",5.60,65.46,19.36
1883,564608868,"01883M00:03:02.975","01883 00:18:00",208.43,842.14,,,,"     ",5.60,65.45,19.35
1883,564608869,"01883M00:03:03.948","01883 00:18:01",208.42,842.17,,,,"     ",5.60,65.46,19.33
1883,564608870,"01883M00:03:04.921","01883 00:18:02",208.39,842.25,,,,"     ",5.60,65.33,19.28
1883,564608871,"01883M00:03:05.894","01883 00:18:03",208.36,842.23,,,,"     ",5.60,65.36,19.27
1883,564608872,"01883M00:03:06.868","01883 00:18:04",208.33,842.25,,,,"     ",5.60,65.35,19.26
1883,564608873,"01883M00:03:07.841","01883 00:18:05",208.31,842.32,,,,"     ",5.60,65.40,19.27
1883,564608874,"01883M00:03:08.814","01883 00:18:06",208.32,842.28,,,,"     ",5.60,65.30,19.21
1883,564608875,"01883M00:03:09.787","01883 00:18:07",208.34,842.23,,,,"     ",5.60,65.41,19.24
1883,564608876,"01883M00:03:10.761","01883 00:18:08",208.38,842.14,,,,"     ",5.60,65.32,19.19
1883,564608877,"01883M00:03:11.734","01883 00:18:09",208.43,842.27,,,,"     ",5.60,65.40,19.21
1883,564608878,"01883M00:03:12.707","01883 00:18:10",208.48,842.27,,,,"     ",5.60,65.35,19.18
1883,564608879,"01883M00:03:13.680","01883 00:18:11",208.53,842.24,,,,"     ",5.60,65.38,19.18
1883,564608880,"01883M00:03:14.654","01883 00:18:12",208.58,842.16,,,,"     ",5.60,65.23,19.11
1883,564608881,"01883M00:03:15.627","01883 00:18:13",208.64,842.25,,,,"     ",5.60,65.39,19.15
