SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
1517,532117287,"01517M00:00:38.592","01516 23:59:09",214.25,931.69,,,,"     ",5.10,,
1517,532117288,"01517M00:00:39.565","01516 23:59:10",214.24,931.75,,,,"     ",5.10,94.57,6.50
1517,532117289,"01517M00:00:40.539","01516 23:59:11",214.23,931.78,,,,"     ",5.10,94.97,6.51
1517,532117290,"01517M00:00:41.512","01516 23:59:12",214.22,931.84,,,,"     ",5.10,94.90,6.48
1517,532117291,"01517M00:00:42.485","01516 23:59:13",214.21,931.85,,,,"     ",5.10,94.78,6.45
1517,532117292,"01517M00:00:43.458","01516 23:59:14",214.19,931.78,,,,"     ",5.10,95.31,6.47
1517,532117293,"01517M00:00:44.432","01516 23:59:15",214.18,931.86,,,,"     ",5.10,95.07,6.44
1517,532117294,"01517M00:00:45.405","01516 23:59:16",214.16,931.88,,,,"     ",5.10,94.83,6.40
1517,532117295,"01517M00:00:46.378","01516 23:59:17",214.14,931.88,,,,"     ",5.10,95.00,6.40
1517,532117296,"01517M00:00:47.351","01516 23:59:18",214.13,931.95,,,,"     ",5.10,95.04,6.39
1517,532117297,"01517M00:00:48.325","01516 23:59:18",214.11,931.81,,,,"     ",5.10,95.43,6.39
1517,532117298,"01517M00:00:49.298","01516 23:59:19",214.09,931.86,,,,"     ",5.10,95.50,6.38
1517,532117299,"01517M00:00:50.271","01516 23:59:20",214.08,931.80,,,,"     ",5.10,95.72,6.38
1517,532117300,"01517M00:00:51.244","01516 23:59:21",214.06,931.84,,,,"     ",5.10,95.15,6.33
1517,532117301,"01517M00:00:52.218","01516 23:59:22",214.04,931.87,,,,"     ",5.10,95.24,6.32
1517,532117302,"01517M00:00:53.191","01516 23:59:23",214.02,931.90,,,,"     ",5.10,95.71,6.34
1517,532117303,"01517M00:00:54.164","01516 23:59:24",214.01,931.85,,,,"     ",5.10,95.67,6.32
1517,532117304,"01517M00:00:55.137","01516 23:59:25",213.98,931.89,,,,"     ",5.10,95.81,6.32
1517,532117305,"01517M00:00:56.111","01516 23:59:26",213.96,931.80,,,,"     ",5.10,95.38,6.27
1517,532117306,"01517M00:00:57.084","01516 23:59:27",213.93,931.80,,,,"     ",5.10,95.82,6.29
1517,532117307,"01517M00:00:58.057","01516 23:59:28",213.90,931.87,,,,"     ",5.10,95.59,6.26
1517,532117308,"01517M00:00:59.030","01516 23:59:29",213.87,931.81,,,,"     ",5.10,95.60,6.25
1517,532117309,"01517M00:01:00.004","01516 23:59:30",213.85,931.80,,,,"     ",5.10,95.77,6.25
1517,532117310,"01517M00:01:00.977","01516 23:59:31",213.82,931.77,,,,"     ",5.10,96.25,6.27
1517,532117311,"01517M00:01:01.950","01516 23:59:32",213.79,931.93,,,,"     ",5.10,95.75,6.22
