SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
641,454350910,"00641M00:00:41.306","00641 00:29:11",200.47,768.08,,,,"     ",3.80,,
641,454350911,"00641M00:00:42.279","00641 00:29:12",200.62,768.14,,,,"     ",3.80,39.52,12.96
641,454350912,"00641M00:00:43.252","00641 00:29:13",200.76,768.18,,,,"     ",3.80,39.65,12.95
641,454350913,"00641M00:00:44.226","00641 00:29:14",200.89,768.20,,,,"     ",3.80,39.67,12.91
641,454350914,"00641M00:00:45.199","00641 00:29:15",201.02,768.19,,,,"     ",3.80,39.79,12.91
641,454350915,"00641M00:00:46.172","00641 00:29:16",201.14,768.12,,,,"     ",3.80,39.87,12.90
641,454350916,"00641M00:00:47.145","00641 00:29:17",201.25,768.14,,,,"     ",3.80,39.86,12.85
641,454350917,"00641M00:00:48.119","00641 00:29:18",201.36,768.22,,,,"     ",3.80,39.76,12.77
641,454350918,"00641M00:00:49.092","00641 00:29:19",201.45,768.19,,,,"     ",3.80,40.06,12.83
641,454350919,"00641M00:00:50.065","00641 00:29:20",201.54,768.14,,,,"     ",3.80,40.11,12.81
641,454350920,"00641M00:00:51.038","00641 00:29:21",201.63,768.27,,,,"     ",3.80,40.06,12.75
641,454350921,"00641M00:00:52.012","00641 00:29:22",201.70,768.25,,,,"     ",3.80,40.67,12.92
641,454350922,"00641M00:00:52.985","00641 00:29:23",201.77,768.19,,,,"     ",3.80,40.31,12.76
641,454350923,"00641M00:00:53.958","00641 00:29:24",201.83,768.20,,,,"     ",3.80,40.32,12.73
641,454350924,"00641M00:00:54.931","00641 00:29:25",201.89,768.27,,,,"     ",3.80,40.37,12.71
641,454350925,"00641M00:00:55.905","00641 00:29:26",201.93,768.25,,,,"     ",3.80,40.45,12.70
641,454350926,"00641M00:00:56.878","00641 00:29:27",201.97,768.15,,,,"     ",3.80,40.48,12.67
641,454350927,"00641M00:00:57.851","00641 00:29:28",201.78,768.16,,,,"     ",3.80,40.51,12.65
641,454350928,"00641M00:00:58.824","00641 00:29:29",201.84,768.21,,,,"     ",3.80,40.44,12.60
641,454350929,"00641M00:00:59.798","00641 00:29:30",201.89,768.16,,,,"     ",3.80,40.60,12.60
