SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
48,198.2,271.82,221.07,226.825398062015,220.9,19.1452016244939
19,210.45,270.42,229.3,236.46269423077,213.32,20.9211575013967
96,201.89,275.6,235.75,239.325653255462,207.31,22.439371313974
144,201.72,276.17,228.26,234.588210103006,204.89,25.7066170705969
123,202.44,264.34,238.64,233.193578160546,238.74,16.5989908624165
18,200.18,251.36,219.19,221.816359649123,206.87,10.5732541266651
70,199.57,272.5,242.32,236.972821245175,202.78,23.7370810003999
47,198.02,264.67,223.55,227.261136458333,256.91,20.1311737688195
143,202.56,270.82,227.78,233.165134048258,206,23.1077851064593
17,195.1,269.8,215.39,217.327799382716,197.57,16.7251314377267
46,198.36,259.5,223.8,228.447093229167,256.37,19.9123595202394
95,203.04,274.35,225.9,232.443296283208,262.23,19.0994031904587
69,200.45,273.99,246.75,241.265834436761,237.57,22.2251913839635
122,203.67,271.06,235.25,235.659132097335,212.48,20.6289115337121
142,206.09,273.22,227.89,232.487141244532,208.03,20.6396685787504
45,199.14,263.81,218.385,223.821291666667,212.28,16.8295879213952
16,196.06,273.78,213.715,226.132926804124,211.37,26.0686590809438
68,201.57,272.36,212.83,224.123409259259,207.02,20.6113146349604
94,193.03,274.1,240.58,237.073696143262,203.25,23.5174471860963
141,204.37,270.88,228.64,230.040455058558,209.01,19.1736328474409
121,206.48,272.72,235.6,237.761150804959,210.42,19.1555915259138
44,196.87,262.69,221.34,225.838759935049,255.43,20.4527271357428
15,193,257.35,212.24,221.070727160494,211.61,20.5497186033552
140,205.98,270.65,229.87,229.228242556794,210.97,16.3016112099629
67,199.38,266.4,239.91,236.806741164064,212.3,21.2922133400532
93,201.64,273.21,254.05,245.978999254499,215.75,20.3266251979336
139,202.34,273.64,227.23,229.215649781289,209.32,14.3805848804298
14,199.24,256.6,224.46,226.674361309524,253.65,19.0389644199809
120,206.21,269.4,243.05,238.399840574828,207.07,20.419572556179
43,197.74,261.28,218.46,223.716159157236,207.82,19.6023573160572
66,199.74,271.52,233.76,235.607915492013,263.58,20.5048597433352
92,199.03,270.38,213.06,220.913208691971,211.67,18.5636168555349
138,207.04,272.1,227.05,229.856103428814,227.4,14.1162832091137
13,198.75,268.15,225.77,233.529023217247,224.8,17.8388002353882
12,196.61,253.89,230.84,230.184042424242,251.8,17.7987628593223
42,196.93,267.02,226.625,228.936824603175,225.12,21.2346263094586
137,204.97,271.94,226.76,231.200455764075,222.93,14.4315742919906
65,201.04,271.68,241.875,238.723152772184,262.46,21.7737552091886
119,205.61,267.88,240.09,237.133959330528,256.95,17.1635002362445
91,198.53,271.4,240.65,240.981910319113,264.43,20.1551619877772
11,196.54,273.26,245.76,234.811741100324,251.69,20.251043104059
41,197.98,261.43,219.97,224.272885135135,206.47,19.8545882134392
136,206.2,270.93,225.24,230.207966004857,208.24,18.0125887999492
10,197.69,256.46,232.66,230.588698039216,249.18,19.9534498478451
40,197.81,261.74,228.82,229.152977477477,235.51,17.2167125514766
64,196.78,273.38,240.96,239.525499046781,263.35,21.2713916550232
118,205.17,267.57,241.6,237.159110533744,238.55,17.7121127102871
90,202.01,272.82,239.8,237.086094058012,205.44,18.5376638292589
9,206.9,266.97,251.645,239.563145833333,251.9,17.4045164323062
