SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
127,826.17,926.9,904.285,889.515782981327,906.39,31.8027943217928
52,715.28,806.67,771.5,763.12299135238,785.57,25.3027704907206
100,771.4,866.11,826.775,821.154068028761,772.01,32.2644263663716
74,742.26,830.39,806.44,794.927464422242,808.4,22.104782977145
149,853.6,958.72,908.31,900.763702335442,938.68,35.7556999817867
23,688.48,788.85,738.985,738.062518468468,688.81,35.4329637698307
51,712.08,808.02,759.02,755.94916592536,712.27,27.3724262003279
126,819.3,926.9,905.82,888.632940987503,907.62,32.7085143888635
99,775.71,870.25,804.15,820.257068445976,863.74,33.4482819674485
148,850.92,955.88,897.32,896.651798112935,851.13,39.706034519336
73,741.24,828.17,808.33,795.956523181196,808.67,23.3681454000093
22,688.88,787.66,741.97,744.227306881864,771.52,27.1386072484596
50,711.47,806.95,775.33,764.64614486063,783.8,25.1192435350515
125,820.11,922.2,890.9,886.684482277076,905.53,21.5670300102103
98,775.72,871.39,814.03,817.94222268624,849.58,31.5098952894753
72,739.67,826.45,787.11,783.879168964882,807.84,25.9000811794311
147,855.46,956.06,868.94,888.532280986376,855.64,32.9228902059437
21,689.37,788.86,762.56,761.67812219959,760.39,23.538948833067
49,711.77,806.2,754.075,755.869805855856,805.87,30.8921254458489
146,851.09,946.83,921.435,903.513981233244,929.63,30.9374814685375
97,775.54,872.13,834.095,834.418864287079,857.88,27.5424108397169
124,812.78,921.12,886.86,875.451568585105,812.98,31.978998188387
71,738.16,824.91,790.585,781.997551050902,804.5,25.3971739120672
20,690.31,762.38,740.09,738.061153232243,758.17,20.461346000908
145,850.32,952.65,920.33,906.472090447298,936.04,33.0613812557971
48,709.51,805.9,759.22,761.199267829456,754.37,25.5231718269369
19,690.25,755.22,720.76,723.441689743589,735.24,17.013005221506
96,778.6,864.7,823.75,814.981644675175,845.28,29.5203884142076
144,848.17,946.72,919.645,901.341890080428,934.4,35.844025458525
123,814.71,920.09,887.98,878.508043187811,900.49,30.6803782554376
70,737.97,823.91,777.63,772.047737230712,738.17,27.6053965581135
18,731.78,786.55,764.45,764.257816666666,757.38,14.4768674165756
47,707.77,806.21,765.39,757.885592708334,782.97,28.4707171740686
143,846.17,951.64,917.995,900.852515874136,938.32,40.3431706264099
46,707.6,806.23,761.36,754.717957812501,782.12,27.861988621967
17,690.53,786.86,743.01,746.56822345679,737.46,22.1471203375869
69,735.86,815.18,741.79,758.827423373057,736.14,27.5945558373374
95,772.47,862.2,827.97,817.392010665295,772.66,27.7450535502537
122,808.59,916.5,855.35,863.240817497102,914.94,34.0063947616
142,846.41,945.18,919.44,897.89410540426,846.61,37.9535093784677
45,705.98,805.99,766.82,758.911487500001,706.25,32.1617371797536
68,734.28,820.62,799.82,787.377225925926,799.76,22.4523831733552
16,690.05,786.37,740.15,736.092263402062,767.98,28.7699446482497
94,775.45,860.43,822.59,814.420149505073,842.42,26.6720860701398
141,841.87,946.91,915.09,898.947527867928,930.39,40.1083382943264
121,808.28,916.63,857.81,865.113503704229,894.61,30.8192587398374
44,705.8,805.87,758.77,755.887764293649,783.56,29.088272999805
15,690.42,783.92,744.44,737.038551851849,690.69,30.6345055989779
140,843.29,942.23,914.635,905.103617186397,941.96,32.8487026360726
67,733.16,820.58,757.18,766.93616219342,733.53,30.7786544225754
93,773.76,855.96,789.13,799.3211977706,832.7,24.1854166761567
139,838.62,940.63,910.225,904.929654296599,926.12,30.0849268123008
14,691.21,781.42,730.3,733.24762202381,691.48,31.7845913358919
120,807.51,913.93,862.68,861.399486920399,890.88,31.7752207585025
43,705.96,804.8,771.63,759.763608085983,772.43,28.5876419191765
66,731.71,817.94,749.51,764.618731373339,801.38,30.6244035800679
92,772.63,856.87,844.23,834.203867644982,856.59,24.6725181011479
13,693.16,765.2,713.73,718.668082089554,693.43,23.0348419289848

12,693.18,778.83,705.41,721.262394696971,693.4,28.9833105255796
42,703.31,802.98,760.46,753.630146031747,781.8,27.9694332456289
137,834.98,938.79,908.715,902.3861316495,908.19,25.6537831313571
65,730.84,819.01,749.2,762.938976708282,799.8,28.4388909974461
119,804.15,912.71,859.65,852.497494297921,804.36,36.2504760837564
91,775.12,853.46,814.74,812.612838119218,838.27,24.2502554446128
11,692.67,779.53,714.355,724.064674757282,692.95,28.6011671900371
41,700.43,804.68,760.725,754.770142792792,780.77,29.0850739628128
136,838.5,941.12,909.15,903.158094081798,926.72,23.7693254211871
10,691.47,776.23,723.935,725.630961764706,691.86,30.8434392022714
40,699.12,804.53,750.96,746.277582882882,699.34,34.080645134283
118,804.56,907.57,856.53,850.194312612267,804.75,34.6095795797503
90,769.65,850.52,814.12,811.311053224443,835.66,21.6370589734309
9,690.64,754.97,701.36,711.326438697318,693.37,21.1184619732864
1,702.65,706.18,704.24,704.414,704.21,0.784534815993255
135,832.11,938.33,907.33,895.798311364701,915.75,30.9801510206773
39,698.49,802.51,724.78,737.360813020834,777.59,31.7347501792017
89,766.96,851.91,818.59,812.380144733914,837.34,23.0891089326885
63,727.66,817.62,753.19,760.361995639733,789.2,25.391874435395

422,847.21,926.25,891.96,890.446286195424,912.03,23.8467060567267
38,698.27,800.87,747.89,748.767734533614,776,30.9056058925086
134,832.24,940.11,914.47,898.799069677792,920.9,30.0020011155053
116,797.83,907.76,870.53,854.958995551732,875.03,27.0517673179537
88,768.22,846.66,817.77,811.511000096257,768.37,21.4859975577587
37,698.87,800.95,753.09,749.286872683801,765.73,25.974370894934

421,845.75,925.5,891.12,886.852614110871,846,21.9530611920996
133,829.03,937.7,910.94,895.037533161562,916.42,29.778471140827
87,763.77,843.64,813.6,809.971416627227,830.57,20.9567389362039
61,725.52,815.56,739.15,758.345245176999,725.74,32.5953470104016
114,795.14,904.6,852.09,852.922031760725,872.49,28.528756535294
420,847.25,927.87,893.42,889.182915583479,915.37,22.0586650048672
36,698.14,798.75,768.55,758.198917836256,775.97,29.839664147651
1622,784.73,893.21,828.76,835.828514439413,892.88,31.4883929443277
86,761.72,845.6,813.82,812.127244215938,845.42,21.5459843107664
60,726.21,815.16,745.775,753.950767697595,726.39,25.8340225365353
113,794.98,901.58,869.13,857.413734345595,795.26,28.9961712383512
419,848.18,925.5,898.12,893.189304828296,911.58,20.6237841336565
35,696.48,798.65,747.96,747.349067857143,774.9,30.5356489255417
1621,785.91,892.81,840.11,840.281917385944,858.13,31.644927573518
85,760.79,841.89,811.12,809.16337210423,800.75,21.1297737660897
59,723.77,813.61,747.565,755.843906542056,793.42,26.8973288781517
