SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
122,0.84,6.61,2.08,2.41628677429636,0.91,1.50441817920818
142,0.5,8.63,2.59,3.12238004381322,0.69,2.29936507813635
68,0.36,14.34,4.34,3.87592467888763,0.71,2.78627804001491
16,0.77,31.49,4.62,6.4305137414116,0.85,6.59185860010103
94,0.42,9.07,1.26,2.51027129233801,0.45,2.21018366543968
141,0.49,8.73,2.56,3.36392312040701,1.25,2.2836969982806
121,0.47,8.41,1.8,2.09871390889,0.7,1.51183950970062
44,0.61,19.81,8.175,6.52782578979341,0.98,4.66683286535057
15,1.11,30.94,5.41,6.8379292929293,1.34,6.04190846912057
67,0.34,12.19,1.12,2.44054184494266,0.42,2.4470817509286
93,0.45,10.76,0.8,1.79734555401612,0.49,1.85588452887874
139,0.52,8.58,2.43,2.85203109540635,2.41,1.66831236308127
14,1.32,24.79,2.98,4.66234972349125,1.45,4.3417923193069
120,0.56,7.7,1.28,2.24257337040467,0.65,1.87381178439222
43,0.6,18.56,2.75,4.26820685192508,0.68,3.81502969774615
66,0.35,20.37,1.69,2.48372246770331,0.41,2.71882244480116
92,0.58,11.33,4.27,3.95726309094763,0.61,2.15533138474282
138,0.53,8.46,2.61,2.74558617765527,2.72,1.73330214299634
13,1.2,19.37,2.77,3.85005609041441,1.58,4.00357965519114
12,1.31,30.75,2.36,4.66450795837154,1.4,5.82872142711196
42,0.55,25.97,2.08,4.44967973384635,0.61,4.88839311539217
137,0.58,9.16,2.645,2.76925381571509,1.35,1.88375516228447
65,0.34,16.87,1.12,2.2877052553464,0.39,2.53783108072951
119,0.65,8.52,1.32,2.18185985213757,0.82,1.71148075159403
91,0.57,12.85,1.46,2.16659819784901,0.63,1.97920528699689
11,0,31.41,1.61,5.0239803841439,0,7.6542410282211
41,0.64,19.83,3.23,4.53062744562745,0.7,4.0003311259377
136,0.6,9.22,2.81,2.99605537816327,1.01,2.10548525603042
10,0,33.45,1.07,5.79081699346406,0.07,8.73972978823145
40,0.72,19.14,1.87,3.32787287287291,0.75,3.46460623023221
118,0.72,6.77,1.29,2.23153357298758,0.76,1.742479439996

90,0.42,11.88,1.32,2.23830671926857,0.73,1.9016444106817
9,0,11.47,0.16,2.26911171982,0,3.24243630367763
1,0,0,0,0,0,0
135,0.63,9.63,3.13,3.12290087094794,3.02,1.83669115333499
39,0.63,23.48,1.21,3.80730481902354,0.72,4.40548450988269
89,0.4,11.62,1.45,2.5385559693179,0.46,2.41230164161633
63,0.34,19.05,1.34,2.42725526675789,0.42,2.88521607429203
38,0.68,20.06,2.57,3.86371890595384,0.74,3.45453793032278
422,0.94,17.61,2.46,3.88005344076299,1,2.99247726990793
134,0.55,9.57,3.26,2.75351046388273,0.69,1.57243786490309
116,0.74,8.88,2.21,2.52935312425188,0.8,1.39429450314386
88,0.41,10.38,1.42,2.56810190387517,0.9,2.29735081758502
62,0.37,20.54,1.91,2.73131081467607,0.43,2.67612381891038
37,0.44,25.06,2.86,3.86009539526642,0.48,3.52545936798887
115,0.82,7.83,2.19,2.59798700188128,0.88,1.54170273451462
421,1.08,12.83,2.32,3.72925504322764,1.12,2.74289120642105
133,0.57,9.38,2.44,2.74106311869372,0.99,1.57233764628302
87,0.46,12.13,1.74,2.85600896577851,0.67,2.31845276124128
61,0.37,21.07,1.01,2.3930831765149,0.43,2.92912109844508
114,0.82,7.66,2.28,2.46052677279309,0.86,1.33556475255836
420,1.07,13.94,2.28,3.89191226421911,1.43,2.83899359353085
36,0.44,16.94,3.95,5.01673961840628,0.49,3.83201669187698
1622,0.52,10.9,1.87,3.28587840326376,0.56,2.91365339668147
86,0.49,12.84,2.13,2.69510626667955,2.15,2.13301622841187
60,0.43,21.82,1.34,2.13766496580924,0.47,2.71318865221956
113,0.9,8.53,2.99,2.73351426809076,1.45,1.49909628080676
419,1.12,17.48,2.74,4.49866561656165,6.16,3.08384518402471
35,0.5,28.46,3.63,4.54675324675327,0.54,4.18695256010971
1621,0.57,12.05,2.45,2.89174248770715,0.69,2.37789275422294
85,0.48,14.05,2.12,2.57917274860948,0.57,2.00919287839602
59,0.43,13.48,1.46,2.37853016142733,0.46,2.28586871828048
34,0.48,21.74,3.57,4.40186501290115,0.56,3.48086266424655
418,1.05,15.29,3.2,3.64391081607622,1.25,2.77713050067599
112,0.68,7.12,2.96,2.73940028520122,1.32,1.40261587138452
1620,0.51,14.38,2.86,3.13396517330228,0.56,2.64368916279144
84,0.5,11.23,1.64,2.36245423178402,0.58,2.03580950445776
58,0.46,16.7,0.86,1.94834307992204,0.52,2.67375905935327
417,1.04,16.41,2.82,3.89045225161518,1.1,2.95944767393753
913,0.59,11.19,5.19,4.92065228556754,0.61,2.46913829537435
83,0.62,12.91,3.35,3.67800591934886,0.89,2.33114182084626
1619,0.57,15.38,1.35,2.74639433929498,0.6,2.82860409681812
111,0.6,8,2.5,2.61285779903268,0.65,1.67098212921551
416,1.08,17.52,1.68,3.60457697802836,1.34,2.96967471836834
674,0.62,24.42,1.49,5.04326138792959,0.69,5.42517047675834
912,0.63,10.38,1.13,3.10734679746102,0.8,2.82306465783349
1148,1.26,21.18,5.45,5.44853625170996,1.5,3.5404746823712
1618,0.55,9.75,1.49,3.26347296002784,0.6,2.95291512315254
110,0.64,7.1,2.78,2.56497587235381,0.73,1.32041142336605
415,1.04,17.7,2.28,3.63411951603071,1.07,3.03021751876312
1147,1.35,18.06,3.17,5.18113049903378,1.49,3.77982400459781
673,0.64,32.87,1.46,6.26725173966434,1.32,7.31450239466103
1617,0.59,15.11,1.56,4.36033076181293,0.63,4.23508734241154
911,0.59,11.24,2.6,2.90316013801501,0.7,2.254821011503
414,1.04,14.91,2.05,3.709176701655,1.07,3.0926534740864
672,0.65,33.38,3.4,6.23826474944907,0.88,6.08683282305999
109,0.56,6.57,2.21,2.32387922399705,1,1.52276206339882
1146,1.39,12.92,6.46,5.85075570724796,8.94,2.71753231738726
1616,0.78,19.16,2.51,3.67522694336557,0.85,3.54272058768837
413,1.07,16.12,1.93,3.52538137636204,1.1,2.96237898206233
910,0.44,11.59,4.34,3.58213091609176,0.53,2.41967120501965
108,0.62,8.14,2.56,2.40082326854123,0.71,1.42940656887214

1145,1.35,15.74,6.57,6.38038418567773,3.05,3.37168849638863
1615,0.78,19.2,2.59,3.12166437773855,1.01,2.54344935515827
412,0.94,16.1,3.45,3.88218995449673,0.98,2.69646083515154
670,0.83,21.09,2.67,3.85056233814275,0.94,3.77084441400595
909,0.4,11.12,2.56,3.25979702604619,0.48,2.30800488445603
1144,1.15,17.95,2.87,3.95565660462269,1.42,2.74715441503577
1381,0.63,15.82,1.06,3.37275192681692,1.06,3.54444236836948
669,0.65,18.97,2.78,3.99456529781718,0.69,3.6151740790117
411,0.89,15.57,3.42,3.74265155898423,3.37,2.28375672389881
1143,1.22,18.3,3.29,4.26961792401776,4.42,2.54047821744419
1380,0.66,27.65,1.87,5.01289773833158,0.84,5.34804150438165
908,0.4,13.34,3.17,3.65993084812741,0.47,2.54045624649581
1379,0.64,23.03,2.35,4.11384961805953,0.83,4.48265111947881
668,0.68,23.5,1.82,3.91062453974824,0.71,4.10043742033053
410,0.9,17.92,3.16,3.5876849386432,1.01,2.68615779635769
1142,1.12,17.11,3.1,4.39435955128409,1.19,2.79650249954478
